,A1,A2,A3,BV,DT,G,GM,H,H_sigma,IR,K1,K2,M1,M2,PC,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,last_obs,ma,moid,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
836,,,,,,,,12.2,,,,,,,,,2.29794348163883,2.391266871100367,,MBA,2660.64740652012,0.0,33279.0,,,9.440681,0.04061169920288084,2457000.5,20141209.0,57000.0,J2000,12.458889999152165,,1923-09-11,837 Schwarzschilda (1916 AG),6.732699317513883,a0000837,2014-10-22,52.85254028511719,1.20476,468.8564492,0.2829404627644144,,,1274.0,Schwarzschilda,N,200.0890406012137,JPL 8,837.0,1272.352481800201,3.48351124380616,N,,0.0,Otto Matic,0.0,1916 AG,2.204620092177293,0.50108,24.0,-1855584174164579.0,0.0,1.0592e-08,1.1022e-08,5.8724e-08,6.4661e-06,5.6266e-05,1.9562e-09,4.0514e-05,8.7969e-06,1.3394e-07,0.00019901,6.9495e-05,?,,,2000837.0,3.583,2456813.7026088857,20140605.2026089,,172.2258640698327
837,,,,0.703,,,,10.09,,,,,,,,0.324,2.898215555908953,3.288589123793558,0.0455,MBA,2640.261679076993,0.0,35809.0,59.81,2.3,10.431777,0.1346944560727039,2457000.5,20141209.0,57000.0,J2000,,,1916-09-24,838 Seraphina (1916 AH),10.41438435767194,a0000838,2014-10-09,336.356306006806,1.526,593.87342,0.1997597791335108,,,1413.0,Seraphina,N,240.1255765637889,JPL 46,838.0,1802.16458769406,4.93405773495978,N,,2.4155673006461696e+16,Otto Matic,1788928818423116.5,1916 AH,2.507841988024347,0.51937,15.67,-8.850638589567566e+16,132.03308395384965,1.5924e-08,1.8069e-08,3.6988e-08,4.9071e-06,1.7824e-05,1.6464e-09,2.3216e-05,1.4853e-05,1.081e-07,8.9574e-05,2.8573e-05,P,,P,2000838.0,3.25,2457118.8606334357,20150406.3606334,,116.6538256645878
838,,,,,,,,10.6,,,,,,,,,2.614534618244703,3.013798388258276,0.3534,MBA,2647.8686737549824,0.0,34353.0,20.39,0.8,10.106558,0.1527093071277149,2457000.5,20141209.0,57000.0,J2000,,,1920-09-19,839 Valborg (1916 AJ),12.60880544747918,a0000839,2014-10-09,124.0350547355352,1.20807,470.1446019,0.2331376846429224,,,1130.0,Valborg,N,338.2292854610955,JPL 14,839.0,1544.151905563367,4.2276575100982,N,,0.0,Otto Matic,0.0,1916 AJ,2.215270848231131,0.50123,10.366,-8133814861627214.0,0.0,1.5558e-08,1.7934e-08,4.7109e-08,5.4863e-06,1.8224e-05,2.081e-09,2.2962e-05,1.3783e-05,1.2505e-07,7.8452e-05,2.9215e-05,?,,S,2000839.0,3.357,2456468.475094093,20130624.9750941,,338.9113296382196
839,,,,,,,,10.0,,,,,,,,,3.13107487488129,3.442199857606506,,MBA,2634.474834591996,0.0,35775.0,,,10.891151,0.09936682933429081,2457000.5,20141209.0,57000.0,J2000,34.31463244739771,,1916-09-25,840 Zenobia (1916 AK),9.986883588530803,a0000840,2014-09-06,326.3569514273823,1.80551,702.6503267,0.1778950623760699,,,1434.0,Zenobia,N,272.7848204262031,JPL 13,840.0,2023.664935898898,5.54049263764243,N,,0.0,Otto Matic,0.0,1916 AK,2.819949892156075,0.50726,5.565,-3.876864835556042e+16,0.0,2.1633e-08,2.3783e-08,4.4011e-08,5.1542e-06,2.9576e-05,1.8437e-09,3.2152e-05,2.0973e-05,1.3761e-07,0.00016685,4.2645e-05,?,,,2000840.0,3.182,2457189.617382592,20150616.1173826,,10.43123456515289
840,,,,,,,,12.92,,,,,,,,,2.255153599399508,2.411407290503163,,MBA,2668.86485332267,0.0,30621.0,,,9.026033,0.06928738297261054,2457000.5,20141209.0,57000.0,J2000,8.942920116969281,,1930-12-24,841 Arabella (1916 AL),3.790875211252637,a0000841,2014-10-25,256.7428799325141,1.11816,435.1543272,0.2910314232124792,,,1293.0,Arabella,N,354.7329901285239,JPL 11,841.0,1236.979828591113,3.38666619737471,N,,0.0,Otto Matic,0.0,1916 AL,2.098899908295853,0.48778,3.39,-686247317560354.1,0.0,8.7192e-09,9.3233e-09,3.7164e-08,5.7905e-06,4.9844e-05,1.6878e-09,7.5006e-05,7.1739e-06,8.3201e-08,0.00017202,9.0107e-05,?,,,2000841.0,3.618,2457355.2971518943,20151128.7971519,,120.2918597093255
841,,,,,,,,10.6,,,,,,,,,3.234118451457485,3.628682705699319,0.0552,OMB,2632.254021117044,0.0,35817.0,39.16,2.8,11.387848,0.1220005575442114,2457000.5,20141209.0,57000.0,J2000,,,1916-10-01,842 Kerstin (1916 AM),14.54942299141147,a0000842,2014-10-24,12.79842199844858,1.83712,714.9519904,0.1694611661457022,,,1057.0,Kerstin,N,5.674069856391246,JPL 7,842.0,2124.380518486891,5.81623687470744,N,,0.0,Otto Matic,0.0,1916 AM,2.83955419721565,0.51012,,-5.761965518845591e+16,0.0,2.3383e-08,2.6236e-08,6.7224e-08,8.5507e-06,2.2398e-05,1.8378e-09,2.183e-05,2.3039e-05,2.173e-07,0.00013209,3.1542e-05,?,,,2000842.0,3.124,2456924.975782331,20140924.4757823,,351.5539490603863
842,,,,,,,,13.8,,,,,,,,,2.279339821366987,2.756996754437102,,MBA,2680.497569303823,0.0,35523.0,,,8.63505,0.2095593331860672,2457000.5,20141209.0,57000.0,J2000,5.963199670531792,,1916-09-30,843 Nicolaia (1916 AN),8.000311046795266,a0000843,2014-01-02,219.4097739119953,0.800046,311.35390182,0.2864115034286212,,,980.0,Nicolaia,N,4.095540272069714,JPL 6,843.0,1256.93275476178,3.44129433199666,N,,0.0,Otto Matic,0.0,1916 AN,1.801682888296871,0.49235,,-203460758807981.53,0.0,9.6358e-09,1.1655e-08,7.0397e-08,7.5676e-06,1.7827e-05,1.8162e-09,3.6924e-05,7.9704e-06,1.5952e-07,6.4207e-05,3.9171e-05,?,,,2000843.0,3.565,2457491.367944915,20160412.8679449,,317.1276095508041
843,,,,,,,,9.6,,,,,,,,,3.202750164909074,3.426065102113732,,OMB,2632.848543860718,0.0,41145.0,,,11.02231,0.06972599350751965,2457000.5,20141209.0,57000.0,J2000,41.25526217847495,,1902-03-06,844 Leontina (1916 AP),8.786717411091809,a0000844,2014-10-29,113.7255479147335,1.97154,767.2642218,0.1719568498759403,,,1281.0,Leontina,N,348.7971897582842,JPL 14,844.0,2093.54847021055,5.73182332706516,N,,9211294832957186.0,Otto Matic,643812166210092.5,1916 AP,2.979435227704417,0.54882,6.7859,1.3180316421926493e+17,131.6624271930359,1.9117e-08,2.045e-08,4.396e-08,5.4249e-06,3.4146e-05,1.5396e-09,3.1138e-05,1.8745e-05,1.4239e-07,0.00019806,4.5943e-05,X,X,,2000844.0,3.172,2456339.139036498,20130215.6390365,,348.2741392172633
844,,,,,,,,10.2,,,,,,,,,2.937931595728237,3.140827827714997,0.0788,MBA,2637.516364760851,0.0,35644.0,54.36,2.8,11.040465,0.0690609108400522,2457000.5,20141209.0,57000.0,J2000,,,1916-11-16,845 Naema (1916 AS),12.61126472931362,a0000845,2014-06-19,233.4185896728637,1.75693,683.7444481,0.1957228603994537,,,1154.0,Naema,N,43.16176547290134,JPL 15,845.0,1839.335472950225,5.03582607241677,N,,1.2508366605759685e+17,Otto Matic,8743667610651624.0,1916 AS,2.735035363741477,0.52577,20.892,-1.0437239106633827e+17,131.89581823804255,1.5927e-08,1.7027e-08,4.9589e-08,4.9805e-06,3.3226e-05,1.5915e-09,2.4279e-05,1.4957e-05,1.4751e-07,0.00017129,4.0774e-05,C,C,,2000845.0,3.234,2457647.2379950853,20160915.7379951,,295.614559254704
845,,,,0.61,,,,10.26,,,,,,,,0.39,3.127196600475817,3.698611122865742,0.0506,MBA,2638.4168640748967,0.0,35725.0,52.41,1.4,10.041751,0.1827242080983912,2457000.5,20141209.0,57000.0,J2000,,,1916-11-16,846 Lipperta (1916 AT),0.2642209805528585,a0000846,2014-09-08,280.5990882624858,1.56111,607.5371787,0.1782260967586045,,,1832.0,Lipperta,N,261.5103590297856,JPL 11,846.0,2019.906212094159,5.53020181271501,N,,0.0,Otto Matic,0.0,1916 AT,2.555782078085893,0.52292,1641.0,-1.3812906902741283e+17,0.0,1.7239e-08,2.0389e-08,4.3759e-08,4.6324e-06,1.2114e-05,1.4737e-09,0.0010474,1.6702e-05,1.3559e-07,6.9557e-05,0.0010473,?,,CBU,2000846.0,3.188,2457446.0066524013,20160227.5066524,,129.2009695326723
