,A1,A2,A3,BV,DT,G,GM,H,H_sigma,IR,K1,K2,M1,M2,PC,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,last_obs,ma,moid,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
0,,,,0.713,,0.12,62.873006000000004,3.34,,,,,,,,0.426,2.76750591440571,2.977345867643754,0.09,MBA,2640.114088101326,0.0,67279.0,952.4,,,0.07582276595896797,2457000.5,20141209.0,57000.0,J2000,,974.6 x 909.4,1830-04-18,1 Ceres,10.59338616262872,a0000001,2014-07-01,95.98917578768719,1.59376,620.2435792,0.2140776049750494,,,6461.0,Ceres,N,80.32926547452543,JPL 33,1.0,1681.633163085685,4.60406067922159,N,,8123022111651.299,Alan B. Chamberlin,522930923415.15576,,2.557665961167666,0.38826,9.07417,-6778017204000.001,132.0257044050663,2.9718e-09,3.1971e-09,3.0776e-08,3.8175e-06,2.4717e-05,3.4482e-10,1.9936e-05,2.7087e-06,8.4935e-08,0.00011527,3.1113e-05,C,C,G,2000001.0,3.31,2456552.115051939,20130916.6150519,,72.52203270043788
1,,,,0.635,,0.11,13.80133411764706,4.13,,,,,,,,0.284,2.771606108489468,3.412605509261236,0.1587,MBA,2641.858000933681,0.0,68635.0,545.0,18.0,,0.2312736282433415,2457000.5,20141209.0,57000.0,J2000,,582x556x500,1825-03-23,2 Pallas,34.84099788068097,a0000002,2013-02-20,78.22870368538561,1.23071,478.9554107,0.2136027349980301,,,7829.0,Pallas,N,173.0962475866183,JPL 26,2.0,1685.371678425934,4.61429617638859,N,,1778134717223.647,Davide Farnocchia,114545524881.83475,,2.1306067077177,0.54256,7.8132,-1050220927058.8237,132.11290004668408,2.1815e-09,2.686e-09,1.9294e-08,2.135e-06,4.8807e-06,2.5219e-10,3.7364e-06,1.9898e-06,5.3551e-08,2.2678e-05,5.5406e-06,B,B,B,2000002.0,3.043,2456634.265439913,20131207.7654399,,309.9303277309815
2,,,,0.824,,0.32,1.8072708333333334,5.33,,,,,,,,0.433,2.670700240558908,3.35292597742045,0.2383,MBA,2644.457881847374,0.0,69075.0,233.92,11.2,,0.2554482627817375,2457000.5,20141209.0,57000.0,J2000,,,1824-04-18,3 Juno,12.98166179450518,a0000003,2013-06-01,33.07715332505229,1.03987,404.6862079,0.2258220552029944,,,6611.0,Juno,N,169.8711811946533,JPL 102,3.0,1594.175554183099,4.36461479584695,N,,2.7083333333333337e-44,Davide Farnocchia,1.746396144238482e-45,,1.988474503697366,0.51434,7.21,-198520833333.33334,5.416666666666668e-56,2.06e-09,2.5862e-09,2.0266e-08,2.4284e-06,6.5107e-06,2.6127e-10,1.1408e-05,1.8444e-06,5.4099e-08,2.8755e-05,1.2468e-05,Sk,Sk,S,2000003.0,3.298,2456854.0255854647,20140715.5255855,,248.4099652667037
3,,,,0.782,,0.32,17.652865416666664,3.2,,,,,,,,0.492,2.361793227026224,2.571379159548719,0.4228,MBA,2649.78776532007,0.0,67680.0,530.0,,,0.08874017002173754,2457000.5,20141209.0,57000.0,J2000,,,1827-12-11,4 Vesta,7.140427316529066,a0000004,2013-03-30,20.86384148999364,1.14151,444.2414467,0.2715446587223504,,,7107.0,Vesta,N,103.8513672233257,JPL 33,4.0,1325.748779938602,3.62970234069432,N,,2.6454166666666668e-43,Davide Farnocchia,1.709264096969724e-44,,2.152207294503728,0.55596,5.342,-1939090416666.6665,5.2908333333333334e-55,1.2194e-09,1.3276e-09,1.0284e-08,1.4093e-06,5.5256e-06,2.103e-10,2.7662e-06,1.0267e-06,2.388e-08,2.038e-05,7.5857e-06,V,V,V,2000004.0,3.535,2456923.666076666,20140923.1660767,,151.1985275178533
4,,,,0.826,,,0.19251605000000002,6.85,,,,,,,,0.411,2.573809011579202,3.06575525205855,0.2268,MBA,2645.565948218195,0.0,61678.0,119.07,6.5,,0.1911354876240434,2457000.5,20141209.0,57000.0,J2000,,,1845-12-15,5 Astraea,5.368522622810963,a0000005,2014-10-28,260.1895421046985,1.09535,426.2773595,0.2386929534481925,,,2201.0,Astraea,N,141.5955615526537,JPL 90,5.0,1508.213773382869,4.12926426661976,N,,2.8850000000000007e-45,Otto Matic,1.861094407152057e-46,,2.081862771099854,0.58171,16.8,-21147050000.0,5.770000000000001e-57,3.9887e-09,4.7511e-09,2.2229e-08,2.6833e-06,7.401e-06,5.5486e-10,2.9043e-05,3.506e-06,5.6832e-08,3.1144e-05,2.9875e-05,S,S,S,2000005.0,3.396,2457418.654187015,20160131.154187,,358.9289810580858
5,,,,0.822,,0.24,0.9448968000000001,5.71,,,,,,,,0.399,2.425351344821642,2.913936047953528,0.2679,MBA,2649.3011000813185,0.0,60166.0,185.18,2.9,,0.2014490412595527,2457000.5,20141209.0,57000.0,J2000,,,1848-09-08,6 Hebe,14.74816234156889,a0000006,2013-06-01,29.21424207793233,0.97813,380.6588521,0.2609408558893541,,,5455.0,Hebe,N,138.703621828055,JPL 82,6.0,1379.622975378948,3.77720184908678,N,,1.4160000000000004e-44,Davide Farnocchia,9.147418897891718e-46,,1.936766641689755,0.53367,7.2745,-103792800000.00002,2.8320000000000007e-56,1.8345e-09,2.2041e-09,1.9016e-08,2.1043e-06,6.9155e-06,2.9606e-10,1.0768e-05,1.5653e-06,4.5979e-08,2.6464e-05,1.2499e-05,S,S,S,2000006.0,3.439,2456888.542667836,20140819.0426678,,239.4079299095493
6,,,,0.855,,,0.9299302142857144,5.51,,,,,,,,0.484,2.386659850431612,2.937487752989813,0.2766,MBA,2650.7269660410666,0.0,60168.0,199.83,10.0,,0.2307944730618347,2457000.5,20141209.0,57000.0,J2000,,,1848-08-23,7 Iris,5.522701053639459,a0000007,2013-05-18,72.14864865091278,0.848267,330.12006839,0.2673118939766791,2.0,0.0,4780.0,Iris,N,259.6207451128045,JPL 105,7.0,1346.741421208168,3.68717706011819,N,,1.393571428571429e-44,Davide Farnocchia,9.007374596019126e-46,,1.835831947873411,0.49835,7.139,-102148785714.28572,2.787142857142858e-56,1.6318e-09,2.0084e-09,1.8217e-08,2.4606e-06,5.8322e-06,2.7415e-10,2.6125e-05,1.3812e-06,4.3536e-08,2.1665e-05,2.6697e-05,S,S,S,2000007.0,3.492,2456730.595628827,20140314.0956288,,145.4612615006708
7,,,,0.885,,0.28,0.5117449555555557,6.49,,,,,,,,0.489,2.201958126370758,2.546205947057996,0.2426,MBA,2654.7341513944502,0.0,60974.0,135.89,2.3,,0.156337133101901,2457000.5,20141209.0,57000.0,J2000,,,1847-11-03,8 Flora,5.887771463539604,a0000008,2014-10-12,71.83873365994532,0.875049,340.54281933,0.3016410820293548,,,2314.0,Flora,N,110.9223225034911,JPL 98,8.0,1193.471385190714,3.26754657136404,N,,0.0,Otto Matic,0.0,,1.85771030568352,0.57742,12.865,-56212955555.555565,0.0,1.9193e-09,2.2194e-09,2.2961e-08,3.0562e-06,1.0261e-05,3.9438e-10,2.5599e-05,1.5604e-06,5.0437e-08,3.3896e-05,2.7178e-05,?,,S,2000008.0,3.641,2456762.340352857,20140414.8403529,,285.4669148711582
8,,,,0.858,,0.17,0.5819690125,6.28,,,,,,,,0.496,2.386434727641735,2.678272157921147,0.118,MBA,2649.3903283845534,0.0,60290.0,190.0,,,0.1222901372072322,2457000.5,20141209.0,57000.0,J2000,,,1849-07-31,9 Metis,5.574443831744537,a0000009,2014-08-25,209.685652098233,1.10928,431.6984976,0.2673497199128967,,,2362.0,Metis,N,68.94475295406656,JPL 98,9.0,1346.550877694164,3.68665538040839,N,,0.0,Otto Matic,0.0,,2.094597297362323,0.4463,5.079,-63926762500.00001,0.0,3.0639e-09,3.4386e-09,1.7637e-08,1.9897e-06,9.7665e-06,5.1487e-10,2.4268e-05,2.5932e-06,4.2217e-08,3.6755e-05,2.6061e-05,?,,S,2000009.0,3.518,2457562.7386586033,20160623.2386586,,5.868801508667977
9,,,,0.696,,,5.806622166666667,5.43,,,,,,,,0.351,3.139436479197706,3.501344613600569,0.0717,MBA,2633.34263070305,0.0,59732.0,407.12,6.8,,0.1152780560463355,2457000.5,20141209.0,57000.0,J2000,,,1849-05-26,10 Hygiea,3.841064231498112,a0000010,2012-12-09,228.7037091720366,1.76927,688.5468059,0.1771848247695326,,,2840.0,Hygiea,N,283.4211836370176,JPL 85,10.0,2031.776708125306,5.56270145961754,N,,750199859282.0249,Davide Farnocchia,48171297334.472275,,2.777528344794843,0.61205,27.623,-625982237000.0,131.6871315351525,6.4894e-09,7.2375e-09,1.6582e-08,2.2355e-06,1.1269e-05,5.4938e-10,2.9483e-05,6.2997e-06,5.2274e-08,6.4728e-05,3.1155e-05,C,C,C,2000010.0,3.197,2457741.513182132,20161219.0131821,,312.4581528371256
10,,,,0.837,,,0.3762089111111111,6.55,,,,,,,,0.417,2.452500749754723,2.697813172110353,0.1803,MBA,2647.5283446140156,0.0,59785.0,153.33,3.1,,0.1000254219617113,2457000.5,20141209.0,57000.0,J2000,,,1850-09-17,11 Parthenope,4.62985455835601,a0000011,2014-05-25,227.8370403689288,1.19556,465.2760852,0.256619911382255,,,4914.0,Parthenope,N,125.5671224769401,JPL 80,11.0,1402.852951124874,3.84080205646783,N,,5.637777777777779e-45,Otto Matic,3.639590865058584e-46,,2.207188327399094,0.46371,13.7204,-41324911111.111115,1.1275555555555557e-56,2.5168e-09,2.7685e-09,2.5777e-08,3.2802e-06,1.1287e-05,3.9502e-10,2.4439e-05,2.1594e-06,6.3442e-08,4.4042e-05,2.7003e-05,Sk,Sk,S,2000011.0,3.483,2457515.514438744,20160507.0144387,,196.0176241187515
11,,,,0.874,,0.22,0.18377442000000002,7.24,,,,,,,,0.515,2.333482268875303,2.849862033623858,0.1765,MBA,2651.953873165289,0.0,59935.0,112.77,3.1,,0.2212914885346188,2457000.5,20141209.0,57000.0,J2000,,,1850-09-18,12 Victoria,8.368835360240892,a0000012,2014-10-23,51.14794550653143,0.823481,320.47410077,0.2765013882068548,,,2368.0,Victoria,N,235.4863008251547,JPL 94,12.0,1301.982613304923,3.56463412266919,N,,9639000000.000002,Otto Matic,623306908.7527688,,1.817102504126747,0.56645,8.6599,-15945660000.000002,132.61697165826448,2.209e-09,2.6978e-09,2.402e-08,2.5252e-06,6.3886e-06,3.9262e-10,1.9541e-05,1.8488e-06,5.6347e-08,2.2984e-05,2.0334e-05,L,L,S,2000012.0,3.522,2456815.5174006782,20140607.0174007,,69.53490891213556
12,,,,0.745,,,0.7940035875,6.74,,,,,,,,0.452,2.577044531850772,2.79297602009946,0.0825,MBA,2644.3978164130535,0.0,59815.0,207.64,8.3,,0.0837903596852521,2457000.5,20141209.0,57000.0,J2000,,,1850-11-21,13 Egeria,16.53747710483859,a0000013,2014-08-28,166.720642882846,1.43989,560.3619913,0.2382435703922316,,,1904.0,Egeria,N,43.25137475192101,JPL 69,13.0,1511.058617058648,4.13705302411676,N,,102583113299.73561,Otto Matic,6614646806.894753,,2.361113043602084,0.63662,7.045,-85597465725.0,132.23989082065268,3.67e-09,3.9775e-09,2.8025e-08,3.6181e-06,1.963e-05,5.0893e-10,1.1774e-05,3.2279e-06,7.2071e-08,8.2266e-05,2.3062e-05,Ch,Ch,G,2000013.0,3.364,2456300.709266473,20130108.2092665,,80.14846917910008
13,,,,0.833,,,0.2563385285714286,6.3,,,,,,,,0.388,2.586682877835678,3.016287353289913,0.159,MBA,2644.935599815709,0.0,59641.0,152.0,,,0.1660831635510314,2457000.5,20141209.0,57000.0,J2000,,,1851-05-20,14 Irene,9.118068811993174,a0000014,2014-09-03,145.5578772374023,1.18251,460.1974167,0.2369132177681146,,,2255.0,Irene,N,86.16005476181408,JPL 62,14.0,1519.543752735485,4.16028405950851,N,,3.8414285714285724e-45,Otto Matic,2.4774897067316355e-46,,2.157078402381442,0.57528,15.028,-28157671428.571434,7.682857142857145e-57,3.3053e-09,3.8542e-09,2.6177e-08,3.5241e-06,9.6712e-06,4.5409e-10,1.952e-05,2.9125e-06,6.8205e-08,4.0908e-05,2.1811e-05,S,S,S,2000014.0,3.385,2456386.1067693955,20130403.6067694,,98.0012507185573
14,,,,0.839,,0.23,1.973668076923077,5.28,,,,,,,,0.451,2.643914763022448,3.139541481453464,0.2094,MBA,2643.9148988329976,0.0,59109.0,255.33,15.0,,0.1874594163786241,2457000.5,20141209.0,57000.0,J2000,,,1851-09-02,15 Eunomia,11.73888056430162,a0000015,2013-07-03,277.5295198859401,1.19136,463.6415712,0.2292624341427024,,,2075.0,Eunomia,N,293.1871147204334,JPL 70,15.0,1570.25289095518,4.2991181134981,N,,2.9576923076923083e-44,Davide Farnocchia,1.9067969934748054e-45,,2.148288044591431,0.64363,6.083,-216798846153.84613,5.9153846153846165e-56,3.2364e-09,3.843e-09,2.8243e-08,2.5893e-06,7.0031e-06,4.2095e-10,1.4852e-05,2.8832e-06,7.4511e-08,3.0865e-05,1.6325e-05,S,S,S,2000015.0,3.339,2457360.220860604,20151203.7208606,,97.55418277946094
15,,,,0.729,,0.2,1.8426377333333332,5.9,,,,,,,,0.299,2.922785182369126,3.3213151899616,0.1203,MBA,2637.479335029979,0.0,58859.0,253.16,4.0,,0.1363528219578003,2457000.5,20141209.0,57000.0,J2000,,,1852-03-17,16 Psyche,3.09894034095183,a0000016,2013-05-11,334.6557090617496,1.52698,594.2548066,0.1972462378446656,,,2493.0,Psyche,N,150.2744675548355,JPL 83,16.0,1825.129867792487,4.99693324515397,N,,27673419946.666664,Davide Farnocchia,1779737263.5960464,,2.524255174776652,0.6037,4.196,395975200000.00006,131.89396675149897,5.7162e-09,6.4956e-09,3.3108e-08,4.4691e-06,1.7109e-05,5.7864e-10,7.3653e-05,5.3542e-06,9.6758e-08,8.6893e-05,7.5307e-05,X,X,M,2000016.0,3.263,2457128.990617693,20150416.4906177,,227.1228564369788
16,,,,0.829,,,0.08708265,7.76,,,,,,,,0.438,2.47195310248914,2.799467475940874,0.1715,MBA,2647.315095286295,0.0,59359.0,90.04,3.7,,0.1324921468461284,2457000.5,20141209.0,57000.0,J2000,,,1852-04-23,17 Thetis,5.590860758628849,a0000017,2014-10-30,257.749976661254,1.13453,441.5250401,0.2535967790298215,,,2636.0,Thetis,N,125.568989409956,JPL 84,17.0,1419.576389642024,3.88658833577556,N,,1.3050000000000003e-45,Otto Matic,8.424034605104835e-47,,2.144438729037406,0.61762,12.27048,-9565650000.0,2.6100000000000005e-57,3.419e-09,3.872e-09,2.344e-08,2.6551e-06,7.9934e-06,5.2614e-10,2.4376e-05,2.9452e-06,5.7565e-08,3.1788e-05,2.5455e-05,Sl,Sl,S,2000017.0,3.465,2457403.6992193665,20160116.1992194,,135.8048307674231
17,,,,0.854,,0.25,0.23441295714285715,6.51,,,,,,,,0.425,2.295006084249163,2.797441730412183,0.2225,MBA,2652.939410952251,0.0,57611.0,140.57,2.8,,0.2189256270871272,2457000.5,20141209.0,57000.0,J2000,,,1856-09-26,18 Melpomene,10.13374367336615,a0000018,2014-06-21,173.7805262895041,0.809934,315.20201478,0.2834838433210864,,,4568.0,Melpomene,N,150.4716724246668,JPL 83,18.0,1269.913642282068,3.47683406511175,N,,3.512857142857143e-45,Otto Matic,2.2724368054510327e-46,,1.792570438086142,0.41876,11.57,-25749242857.142857,7.025714285714286e-57,2.1278e-09,2.5937e-09,2.6863e-08,3.5576e-06,7.5817e-06,3.9425e-10,1.8203e-05,1.7661e-06,6.146e-08,2.642e-05,1.9475e-05,S,S,S,2000018.0,3.543,2456387.4826080613,20130404.9826081,,227.9316577543685
18,,,,0.719,,0.1,0.5719502444444444,7.13,,,,,,,,0.324,2.441588228807615,2.829314934449177,0.037,MBA,2648.3465873291334,0.0,59069.0,200.0,,,0.1588010218377052,2457000.5,20141209.0,57000.0,J2000,,,1852-09-14,19 Fortuna,1.573570749595757,a0000019,2014-06-06,143.7874237731773,1.0598,412.442366,0.2583422514661422,,,2339.0,Fortuna,N,211.1574596588117,JPL 103,19.0,1393.500280952614,3.81519584107492,N,,73894422709.58998,Otto Matic,4771890566.091559,,2.053861523166053,0.5541,7.4432,-61659030533.33333,132.43732936645668,3.2517e-09,3.768e-09,2.3311e-08,2.6924e-06,1.0029e-05,5.1608e-10,0.00010601,2.7838e-06,5.7304e-08,3.8397e-05,0.0001063,Ch,Ch,G,2000019.0,3.483,2456443.9227349297,20130531.4227349,,182.2755510912415
19,,,,0.854,,0.25,0.35692208750000004,6.5,,,,,,,,0.463,2.408813737167583,2.753010469581071,0.2096,MBA,2649.0061101062565,0.0,58543.0,145.5,9.3,,0.1428905552565526,2457000.5,20141209.0,57000.0,J2000,,,1853-12-26,20 Massalia,0.7082754693702656,a0000020,2014-04-09,56.00255090832628,1.08148,420.8795716,0.2636326802924878,,,2039.0,Massalia,N,206.1367534999661,JPL 84,20.0,1365.536319702843,3.7386346877559,N,,5.348750000000001e-45,Otto Matic,3.4549300112453864e-46,,2.064617004754096,0.5876,8.098,-39206337500.0,1.0697500000000003e-56,3.3145e-09,3.7881e-09,2.0261e-08,2.3857e-06,8.1856e-06,5.4413e-10,0.00018116,2.8184e-06,4.9131e-08,3.0948e-05,0.00018127,S,S,S,2000020.0,3.507,2456788.073563163,20140510.5735632,,256.639107875668
20,,,,0.686,,0.11,0.113441,7.35,,,,,,,,0.189,2.434518499704526,2.835227850747424,0.2212,MBA,2648.5909770661547,0.0,54208.0,95.76,4.1,,0.1645949090514331,2457000.5,20141209.0,57000.0,J2000,,,1866-04-06,21 Lutetia,3.06380267841639,a0000021,2014-09-05,289.0152011822495,1.02613,399.3390121,0.2594683889622802,,,3862.0,Lutetia,N,80.88541515901653,JPL 86,21.0,1387.452249731795,3.7986372340364,N,,1703699200.0,Otto Matic,110030176.38966791,,2.033809148661628,0.39704,8.1655,24378000000.000004,132.4329562517077,3.842e-09,4.4744e-09,2.5867e-08,3.6478e-06,1.2611e-05,6.1421e-10,5.9563e-05,3.2844e-06,6.3586e-08,4.8892e-05,6.0424e-05,Xk,Xk,M,2000021.0,3.485,2457274.0778300455,20150908.57783,,250.1630425993545
21,,,,0.715,,0.21,0.5249426666666667,6.45,,,,,,,,0.234,2.910724504757972,3.200975860251097,0.1419,MBA,2637.3778781530145,0.0,58449.0,181.0,4.6,,0.09971790700860567,2457000.5,20141209.0,57000.0,J2000,,,1854-04-14,22 Kalliope,13.71541054128113,a0000022,2014-04-24,240.3455520325854,1.63341,635.6741697,0.1984734507948799,,,2227.0,Kalliope,N,66.0818874746067,JPL 74,22.0,1813.844615278322,4.96603590767508,N,,7883784533.333333,Otto Matic,507003666.3733728,,2.620473149264846,0.53038,4.148,112808000000.00002,131.88466147671738,6.6387e-09,7.3007e-09,3.4299e-08,3.834e-06,1.4784e-05,6.7901e-10,1.1446e-05,6.2055e-06,9.8598e-08,7.5388e-05,1.7645e-05,X,X,M,2000022.0,3.234,2457603.3738226104,20160802.8738226,,354.8822253688937
22,,,,0.859,,,0.1381311,6.95,,,,,,,,0.442,2.624823041503697,3.242898736876701,0.2536,MBA,2645.104845055363,0.0,57705.0,107.53,2.2,,0.2354732816650843,2457000.5,20141209.0,57000.0,J2000,,,1856-10-19,23 Thalia,10.11493545440224,a0000023,2014-10-16,324.8457046077191,1.04425,406.3907725,0.2317682967890375,,,1627.0,Thalia,N,66.88310838416862,JPL 73,23.0,1553.275426309418,4.25263634855419,N,,2.0700000000000004e-45,Otto Matic,1.3351105600426384e-46,,2.006747346130694,0.54131,12.312,-15173100000.000002,4.140000000000001e-57,4.4921e-09,5.5499e-09,2.7984e-08,3.5011e-06,6.3367e-06,5.9497e-10,2.0085e-05,3.9874e-06,7.4487e-08,2.7392e-05,2.1254e-05,S,S,S,2000023.0,3.341,2457152.1786198947,20150509.6786199,,60.82518370670037
23,,,,0.684,,0.19,0.41005585,7.08,,,,,,,,0.336,3.134947262236977,3.529351653437679,0.067,MBA,2633.5175986271847,0.0,58885.0,198.0,,,0.1258089397393148,2457000.5,20141209.0,57000.0,J2000,,,1853-04-27,24 Themis,0.7522721803451641,a0000024,2014-07-17,71.6740179596916,1.75377,682.5146709,0.1775655516582497,,,2269.0,Themis,N,35.92250663625749,JPL 91,24.0,2027.420277401956,5.55077420233253,N,,52830729020.127495,Otto Matic,3392554420.913534,,2.740542871036275,0.6544,8.374,-31203449700.000008,131.69587993135926,7.7834e-09,8.7626e-09,2.5715e-08,2.9329e-06,1.1769e-05,6.6129e-10,0.00022631,7.5505e-06,8.1092e-08,6.5571e-05,0.00022663,B,B,C,2000024.0,3.2,2456596.851785071,20131031.3517851,,106.6713047494415
24,,,,0.932,,,0.03997127,7.83,,,,,,,,0.513,2.399410465157924,3.012596430227522,0.231,MBA,2650.825900839856,0.0,56476.0,75.13,3.6,,0.2555569269925809,2457000.5,20141209.0,57000.0,J2000,,,1860-03-11,25 Phocaea,21.59115234652229,a0000025,2014-10-26,109.0181168461525,0.922019,358.82213423,0.2651839594883667,,,2292.0,Phocaea,N,214.224403084551,JPL 76,25.0,1357.548174084763,3.71676433698772,N,,5.990000000000001e-40,Otto Matic,3.871792036668607e-41,,1.786224500088326,0.49074,9.9341,-4390670000000000.5,1.1980000000000002e-51,2.9235e-09,3.6706e-09,2.4745e-08,3.1074e-06,5.7597e-06,4.8465e-10,8.105e-06,2.4811e-06,5.9271e-08,2.1338e-05,1.004e-05,S,S,S,2000025.0,3.389,2456589.3962625926,20131023.8962626,,90.0514658753157
25,,,,0.891,,,0.04991404,7.4,,,,,,,,0.525,2.65503230475533,2.894840174020777,0.1966,MBA,2642.651440630101,0.0,56159.0,94.8,1.7,,0.0903220156063399,2457000.5,20141209.0,57000.0,J2000,,,1861-01-31,26 Proserpina,3.56352078158781,a0000026,2014-11-04,100.3218853031013,1.40461,546.6320737,0.2278239405718921,,,1422.0,Proserpina,N,45.78834805436813,JPL 96,26.0,1580.167558757498,4.32626299454483,N,,7.480000000000003e-40,Otto Matic,4.819982671257604e-41,,2.415224435489883,0.64282,13.11,-5482840000000000.0,1.4960000000000004e-51,7.6951e-09,8.3901e-09,2.8816e-08,3.3241e-06,2.2513e-05,9.9045e-10,6.9957e-05,6.8697e-06,7.7133e-08,9.8521e-05,7.3766e-05,S,S,S,2000026.0,3.38,2456560.151698363,20130924.6516984,,194.2689147442408
26,,,,0.878,,,0.20672954000000002,7.0,,,,,,,,0.502,2.347085833436434,2.751434823803569,0.162,MBA,2650.9320610987297,0.0,58779.0,96.0,,,0.1722770358914038,2457000.5,20141209.0,57000.0,J2000,,,1853-11-10,27 Euterpe,1.583704563461285,a0000027,2014-10-16,256.5655473967914,0.959082,373.24594194,0.2741009973015608,,,2177.0,Euterpe,N,94.80012235126796,JPL 85,27.0,1313.384495292203,3.59585077424286,N,,3.098000000000001e-45,Otto Matic,2.0025529378536658e-46,,1.9427368430693,0.58283,10.4082,-22708340000.0,6.196000000000002e-57,2.5899e-09,3.036e-09,2.477e-08,2.7928e-06,8.9826e-06,4.5368e-10,9.8473e-05,2.1739e-06,5.7972e-08,3.299e-05,9.8807e-05,S,S,S,2000027.0,3.54,2457377.858906467,20151221.3589065,,356.5401821181561
27,,,,0.845,,,0.17516625,7.09,,,,,,,,0.469,2.7752418022611,3.195560258971575,0.1763,MBA,2640.6092847231735,0.0,57738.0,120.9,3.4,,0.1514529135328042,2457000.5,20141209.0,57000.0,J2000,,,1856-09-29,28 Bellona,9.433338630972449,a0000028,2014-10-29,291.8706534241223,1.37125,533.6493625,0.2131831284612707,,,1905.0,Bellona,N,144.3243203510874,JPL 80,28.0,1688.688981151722,4.62337845626755,N,,2.6250000000000006e-45,Otto Matic,1.69019747363254e-46,,2.354923345550626,0.61387,15.706,-19241250000.0,5.250000000000001e-57,5.7601e-09,6.6325e-09,2.8513e-08,3.5816e-06,9.2191e-06,6.637e-10,1.6035e-05,5.2574e-06,7.9831e-08,4.3556e-05,1.8145e-05,S,S,S,2000028.0,3.299,2457320.081324599,20151024.5813246,,344.6164585591993
28,,,,0.838,,0.2,0.8502428615384616,5.85,,,,,,,,0.449,2.555143366689605,2.739400346896672,0.1793,MBA,2644.847357097892,0.0,57626.0,212.22,6.8,,0.07211218854063263,2457000.5,20141209.0,57000.0,J2000,,,1855-07-25,29 Amphitrite,6.0893821025435,a0000029,2013-05-03,259.534228191598,1.38906,540.5804802,0.2413132475713884,,,1852.0,Amphitrite,N,356.4215366783205,JPL 139,29.0,1491.836870221972,4.08442674940992,N,,1.2741538461538465e-44,Davide Farnocchia,8.217249554901598e-46,,2.370886386482537,0.66549,5.3921,-93395476923.07693,2.548307692307693e-56,3.9125e-09,4.1946e-09,3.2337e-08,3.2475e-06,2.6466e-05,5.5426e-10,3.3741e-05,3.4265e-06,8.2674e-08,0.00010982,4.3463e-05,S,S,S,2000029.0,3.426,2457416.829284942,20160129.3292849,,61.92412806385555
29,,,,0.873,,,0.15027596000000001,7.57,,,,,,,,0.459,2.365719752275975,2.66557657756794,0.1714,MBA,2649.969811204914,0.0,56486.0,100.15,2.4,,0.1267507806042888,2457000.5,20141209.0,57000.0,J2000,,,1860-02-22,30 Urania,2.09803046824671,a0000030,2014-10-18,316.294674676264,1.07322,417.6650274,0.270868891179255,,,2551.0,Urania,N,307.6332260633747,JPL 89,30.0,1329.056276757009,3.63875777346204,N,,2.2520000000000006e-45,Otto Matic,1.4551685740743524e-46,,2.065862926984011,0.52824,13.686,-16507160000.000002,4.504000000000001e-57,3.2804e-09,3.6962e-09,2.6411e-08,3.1548e-06,1.2362e-05,5.634e-10,8.4891e-05,2.7644e-06,6.2026e-08,4.5719e-05,8.6185e-05,Sl,Sl,S,2000030.0,3.536,2457161.852324859,20150519.3523249,,86.7185862017547
30,,,,0.687,,,1.110887675,6.74,,,,,,,,0.317,3.155201727891189,3.855609330881431,0.0543,MBA,2634.478016422791,0.0,56199.0,255.9,11.5,,0.2219850467242129,2457000.5,20141209.0,57000.0,J2000,,,1860-10-25,31 Euphrosyne,26.30568687657361,a0000031,2014-09-07,165.9070882260561,1.56609,609.4752453,0.1758585051704105,,,1454.0,Euphrosyne,N,31.14403610409142,JPL 71,31.0,2047.100307438373,5.60465518805852,N,,143323883195.26123,Otto Matic,9206978728.687016,,2.454794124900946,0.58083,5.53,-120458646400.00002,131.74390082113956,7.4398e-09,9.0913e-09,2.7151e-08,4.4155e-06,9.495e-06,6.2199e-10,7.0785e-06,7.2404e-06,8.6003e-08,5.2313e-05,1.2479e-05,Cb,Cb,C,2000031.0,3.01,2456057.0876352396,20120509.5876352,,61.43178150039196
31,,,,0.857,,,,7.56,,,,,,,,0.429,2.587288303086846,2.794690913150794,0.2564,MBA,2644.136260249275,0.0,54931.0,80.76,1.6,,0.08016215657779606,2457000.5,20141209.0,57000.0,J2000,,,1864-01-07,32 Pomona,5.523991800886507,a0000032,2014-05-31,13.74841252834736,1.37916,536.7276972,0.2368300661226068,,,1439.0,Pomona,N,220.4569971895696,JPL 85,32.0,1520.077268456397,4.16174474594496,N,,9.342580680434543e-38,Otto Matic,6.023580010346136e-39,,2.379885693022898,0.67983,9.448,-6.848111638758519e+17,1.8685161360869085e-49,7.3585e-09,7.9484e-09,3.7479e-08,4.3967e-06,2.4591e-05,1.0104e-09,4.6431e-05,6.4849e-06,9.668e-08,0.00010379,5.256e-05,S,S,S,2000032.0,3.41,2456942.4481962174,20141011.9481962,,338.894228074634
